KIC,e_lat,e_lng
10907196,299.908326,70.301757      
10962775,299.789148,70.336693      
11177749,299.594223,70.776164      
11231549,300.482913,70.840932      
11178396,300.564617,70.769093      
11072334,301.0745705,70.4071447    
11232225,301.408478,70.760069      
11179815,302.2797637,70.5199939    
11018710,302.125720,70.262104      
11180468,302.9723290,70.4429568    
11340165,303.323138,70.707911      
11287679,303.939541,70.522095      
11234625,304.015874,70.425827      
11128910,305.252266,70.107451      
11129153,305.486945,70.070569      
11289335,306.032820,70.293312      
11289128,305.739471,70.307869      
11129480,305.822074,69.978570      
11129945,306.411027,69.937191      
11236536,306.274102,70.119821      
11289822,306.574070,70.179293      
10651578,300.609095,69.743017      
10651320,300.303641,69.772950      
10847321,300.261150,70.112968      
11018922,302.282673,70.203978      
11018745,302.119560,70.221942      
10848618,301.5840642,69.9614533    
10908322,301.213272,70.085924      
10964584,302.034055,70.137433      
10784013,301.893667,69.855172      
10849541,302.565543,69.906413      
10718491,302.353622,69.685164      
10653383,302.422389,69.543758      
11074543,303.592554,70.125410      
11019954,303.6411571,70.1111731    
11020211,303.860262,69.982397      
11020101,303.822802,70.084087      
10910802,304.109155,69.784785      
11075908,305.254177,69.951019      
10966458,304.163504,69.847017      
10910674,304.019980,69.851060      
11551758,306.681429,70.780103      
11499428,306.291893,70.721955      
11551746,306.633028,70.754168      
11394905,305.857473,70.506430      
11550567,305.021341,70.906066      
11498298,304.9068739,70.8208166    
11704163,305.709995,71.157052      
11341723,305.196234,70.479187      
11287936,304.345463,70.543911      
11653073,304.843832,71.172116      
11702195,303.185847,71.452562      
11600208,302.965237,71.315554      
11548940,303.012159,71.185045      
11444313,302.323391,71.096879      
11599342,301.8402715,71.4178510    
11546913,300.252987,71.481406      
11598116,300.164554,71.593345      
11494312,299.899313,71.391810      
11441797,299.036095,71.448845      
11442227,299.563103,71.350122      
11177727,299.636237,70.869491      
11905840,305.852528,71.634238      
11955410,305.945286,71.650331      
12005162,305.992014,71.760764      
11805460,305.904737,71.419934      
11805792,306.243413,71.315504      
11855110,304.986123,71.591795      
11754056,304.661797,71.407953      
11804677,304.775250,71.473772      
11703230,304.550938,71.338724      
11954465,304.827622,71.865387      
11954278,304.502931,71.839593      
11953849,303.956737,71.901370      
12003742,304.118052,72.025365      
11753018,303.373537,71.599024      
11752707,302.983408,71.654949      
12003253,303.482874,72.061361      
11953581,303.673724,71.977901      
11250152,317.831135,68.302274      
11250139,317.869433,68.341734      
11563791,317.9995963,69.0376068    
11615224,317.931901,69.098582      
11512096,317.7170878,68.9244630    
11564307,318.233669,68.890979      
11668246,319.593138,68.910093      
11668036,319.4400500,68.9542819    
11667928,319.3877769,69.0017554    
11357004,318.6720256,68.3839444    
11513798,318.865833,68.653825      
11617622,319.646891,68.814625      
11669113,320.228792,68.758559      
11410217,319.391938,68.363099      
11514322,319.246976,68.585391      
11410549,319.6599039,68.3698340    
11357686,319.204368,68.324259      
11463411,320.0443383,68.3193975    
11515377,320.031822,68.495991      
11721438,320.983826,68.713723      
11669622,320.567839,68.684065      
11567572,320.546589,68.519224      
11568605,321.133144,68.359846      
11517524,321.356317,68.276749      
11567563,320.486772,68.487889      
11518492,321.808917,68.081630      
11413158,321.196827,68.045694      
11465784,321.540331,68.056884      
11569659,321.841366,68.263160      
11519991,322.6391330,67.9024748    
11623012,322.800386,68.148867      
11621486,321.918148,68.338032      
11521352,323.523843,67.781527      
11572172,323.2008746,67.9049295    
11521197,323.393108,67.777503      
11468340,323.055317,67.752407      
11673900,323.201739,68.215276      
11674692,323.618200,68.046741      
11775398,323.588078,68.367912      
11775511,323.6577023,68.3521564    
11090395,317.744421,68.011203      
11037290,318.391086,67.799572      
11037219,318.2728543,67.7574422    
11090673,317.900434,67.952155      
11251136,318.523581,68.154579      
11250488,318.149653,68.322983      
11252233,319.270013,68.023858      
11251837,319.077393,68.122334      
11357931,319.336157,68.256529      
11197457,318.639953,68.112166      
11145563,319.063879,67.899780      
11146230,319.3823238,67.7973376    
10983401,318.367343,67.675650      
11146152,319.389486,67.846950      
11359175,320.109685,68.095933      
11358755,319.865616,68.149592      
11252437,319.419902,68.029098      
11305250,319.567887,68.079966      
11146647,319.668260,67.808343      
11199105,319.576372,67.842885      
11199783,320.074379,67.835361      
11252706,319.544063,67.983975      
11360886,321.073982,67.882367      
11413138,321.120549,68.004616      
11200573,320.551145,67.727907      
11307599,320.915732,67.817821      
11308784,321.614501,67.724928      
11308660,321.479110,67.699228      
11361765,321.590205,67.796005      
11414700,322.091723,67.882978      
12121377,323.454787,69.192405      
12121656,323.613027,69.129605      
11924919,323.1183933,68.8261935    
11824976,322.794447,68.558746      
11973853,322.982602,68.929156      
12121207,323.349323,69.219206      
11823838,322.136570,68.739944      
11722424,321.739077,68.654238      
11971940,321.679413,69.166780      
11721374,321.011995,68.770074      
11971123,321.125146,69.251559      
11970987,321.137063,69.335195      
11821439,320.563950,69.024275      
11819760,319.470916,69.327595      
11920678,320.2766484,69.3823704    
11820688,320.047433,69.142481      
11869095,319.087358,69.496570      
12017985,319.2087034,69.7353977    
11868264,318.462541,69.615542      
11769182,319.4419081,69.1644073    
12114999,318.754930,70.042839      
11868246,318.372614,69.566439      
11767058,317.8890921,69.4166896    
11614827,317.669240,69.165706      
11716326,317.540610,69.412928      
12418515,323.661574,69.873680      
12316494,323.053957,69.726550      
12367827,323.840477,69.644359      
12169845,323.372777,69.313803      
12120230,322.605047,69.295516      
12217154,322.413453,69.595546      
12168406,322.355438,69.453009      
12366461,322.968775,69.862962      
12366537,322.9369154,69.8041128    
12470054,323.221686,69.972343      
12070114,321.704177,69.403200      
12070650,322.0557790,69.3577728    
12314927,321.978673,69.939039      
12365293,322.1772457,70.0476732    
12314910,321.932995,69.923336      
12215647,321.318410,69.773008      
12167521,321.848889,69.596295      
12216750,322.206879,69.694299      
12118044,321.261377,69.664739      
12117790,320.9369509,69.6319602    
12164879,319.913869,69.995598      
12116393,319.869636,69.861076      
12067001,319.426087,69.886622      
10662618,310.176124,68.534655      
10793771,309.9911679,68.7734843    
10793872,310.029892,68.741169      
10858331,310.214304,68.805541      
10973854,311.180485,68.875389      
10532751,310.353605,68.288667      
10598558,311.1302083,68.2606557    
11028575,312.031651,68.921946      
11028372,311.854867,68.954256      
10918731,311.486083,68.807242      
10859779,311.444050,68.697779      
10859941,311.571841,68.690385      
10977629,314.271505,68.394279      
10921258,313.571160,68.430264      
10799530,314.015402,68.173719      
10667886,313.748810,67.998595      
10801063,314.927329,67.949532      
10669123,314.522548,67.816302      
10979181,315.497830,68.201273      
10864711,314.937171,68.104854      
10604460,315.016860,67.607803      
10670445,315.335588,67.641207      
10736390,315.6959399,67.7646253    
10735926,315.373029,67.811859      
10866415,316.066533,67.928864      
10979742,315.884839,68.090746      
11141358,316.254602,68.422174      
10206307,310.409149,67.703350      
10206840,310.755012,67.642348      
10468528,310.621918,68.093963      
10402819,310.4552819,68.0492910    
10467570,310.013053,68.274863      
10272641,310.580110,67.779366      
10207321,311.155173,67.659347      
10207059,310.925136,67.628072      
10469976,311.710939,68.008730      
10599712,311.892878,68.102939      
10666932,313.055770,68.052717      
10600926,312.706884,68.008220      
10602976,314.079482,67.784432      
10602374,313.704834,67.886059      
10602015,313.471466,67.933372      
10474071,314.378162,67.561228      
10603170,314.270888,67.811359      
10603958,314.684343,67.659738      
10473692,314.075190,67.537424      
11509792,316.0566713,69.2469126    
11352756,315.624632,68.991827      
11247049,315.667164,68.687910      
11298714,314.938859,68.967590      
11298371,314.6115746,69.0020699    
11298561,314.847211,69.022931      
11085809,314.339998,68.593775      
11138375,313.750360,68.790118      
11031040,313.986325,68.607863      
11191557,314.124626,68.839876      
11244968,314.025583,69.025781      
11191444,314.028673,68.850727      
11245307,314.26706,68.94198        
11244855,313.881616,68.989917      
11084620,313.460867,68.820374      
11190768,313.443821,68.944145      
11083701,312.629897,68.908464      
11084022,312.917059,68.863886      
11083613,312.546312,68.912732      
11083319,312.3320292,68.9975095    
11136854,312.463957,69.006315      
11135910,311.701151,69.206567      
11188067,310.946620,69.371952      
11135286,311.113640,69.261013      
11027005,310.5744349,69.1393877    
11027337,310.899917,69.086162      
11293804,310.405842,69.658198      
11294218,310.842477,69.601244      
11026472,310.114536,69.242187      
10857953,309.959012,68.914018      
11612171,315.494667,69.588252      
11612603,315.825135,69.468147      
11509608,315.881763,69.244446      
11509277,315.618280,69.302906      
11560939,315.696553,69.410962      
11456449,314.942682,69.305791      
11508970,315.414209,69.383600      
11559818,314.724835,69.592312      
11403437,314.116248,69.295090      
11351140,314.2329166,69.2404219    
11350954,314.032706,69.235398      
11455925,314.466969,69.386373      
11559645,314.588033,69.624487      
11661782,314.304358,69.842250      
11559478,314.380531,69.594436      
11455176,313.834737,69.507983      
11453905,312.5698294,69.6894758    
11401466,312.360764,69.577883      
11453627,312.336846,69.753277      
11349014,312.325287,69.548495      
11295851,312.442682,69.406056      
9760904,302.5627536,68.1124555    
9700899,303.041175,67.898057      
9761625,303.328658,68.025255      
9821783,303.0783139,68.1090588    
9881628,303.341610,68.167616      
9456153,303.429573,67.428615      
9579328,303.574273,67.661787      
9882550,304.283896,68.071669      
9883123,304.815904,67.975029      
9702057,304.252515,67.781412      
9883214,304.885604,67.946433      
9641246,304.407031,67.654511      
9579860,304.054872,67.527770      
9640886,304.080489,67.726645      
9518506,304.205881,67.483779      
9641772,304.910358,67.543437      
9641484,304.672858,67.648437      
9580991,305.173932,67.442764      
9763419,305.069947,67.711588      
9702841,304.996131,67.652998      
9581445,305.611398,67.399975      
9825039,306.3373398,67.7009600    
9644558,307.412464,67.191308      
9583430,307.296166,67.127563      
9946773,307.771061,67.655461      
9705636,307.437993,67.325076      
9704774,306.785315,67.433051      
9583720,307.571232,67.125612      
9706209,307.797246,67.226599      
9706194,307.806564,67.250167      
9706585,308.054206,67.179083      
9767332,308.473775,67.271476      
9145781,303.184390,66.993399      
9145952,303.322029,66.969844      
9395535,303.247949,67.328594      
9332840,302.636813,67.307180      
9333290,303.109192,67.320799      
9333501,303.331045,67.295637      
9333184,302.992068,67.301014      
9396095,303.865420,67.275204      
9456478,303.731123,67.384269      
9080445,303.6947624,66.7378786    
9080175,303.5003276,66.8473067    
9080407,303.7062830,66.8134812    
9396363,304.176645,67.282410      
9147335,304.5580170,66.8138226    
9211401,304.8702243,66.8558085    
9273827,304.769610,66.991903      
9520156,305.724290,67.196802      
9336090,305.584893,66.969964      
9335518,305.058886,67.013376      
9582005,306.086076,67.293496      
9521461,306.9714077,67.1100387    
10202184,307.628972,68.159161      
10136291,308.220354,67.966918      
10071249,308.6624243,67.8002648    
10006852,307.8555262,67.8398402    
10005966,307.173738,67.937042      
10068810,306.887752,68.080357      
9945290,306.476551,67.887188      
10005422,306.730676,67.952424      
10267242,306.722538,68.397646      
10003419,305.038679,68.219124      
10199187,305.039238,68.493128      
10132247,305.254907,68.417248      
10066568,304.987836,68.296064      
9942816,303.993970,68.227093      
9882446,304.1458550,68.0507782    
10065848,304.310117,68.349411      
10002647,304.271605,68.249494      
10328498,302.911334,68.985397      
9881167,302.878047,68.261765      
10196797,302.869802,68.814115      
10196240,302.376581,68.880792      
9941141,302.189312,68.434222      
